Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2020-06-21,25.78,26.65,24.31,25.5,3102717,-0.0124,0.0718,45.0,43.75,False,45.0
2020-06-28,25.41,27.62,24.81,24.95,3087585,-0.0216,0.0344,52.0,46.25,False,45.0
2020-07-05,24.86,25.73,24.08,25.32,4223524,0.0148,0.0264,48.0,47.5,False,52.0
2020-07-12,25.18,26.05,24.08,24.4,2782000,-0.0363,0.0215,53.0,49.5,False,48.0
2020-07-19,24.86,26.47,24.54,25.18,3506512,0.032,0.0316,54.0,51.75,False,53.0
2020-07-26,25.09,27.62,24.86,24.95,3852459,-0.0091,0.0297,50.0,51.25,False,54.0
2020-08-02,25.69,28.54,25.13,27.53,4373307,0.1034,0.0608,51.0,52.0,False,50.0
2020-08-09,27.44,28.26,26.98,27.8,4934848,0.0098,0.0492,51.0,51.5,False,51.0
2020-08-16,28.08,31.21,27.39,30.38,6648610,0.0928,0.0571,49.0,50.25,False,51.0
2020-08-23,31.07,31.3,24.95,28.95,4261960,-0.0471,0.0714,51.0,50.5,False,49.0
2020-08-30,30.15,30.15,27.94,28.86,4964700,-0.0031,0.0585,58.0,52.25,False,51.0
2020-09-06,29.88,30.34,27.48,29.18,2991036,0.0111,0.0584,57.0,53.75,False,58.0
2020-09-13,29.92,30.34,28.59,28.86,1841646,-0.011,0.0248,59.0,56.25,False,57.0
2020-09-20,29.42,30.89,28.54,29.05,4211361,0.0066,0.0099,55.0,57.25,False,59.0
2020-09-27,29.28,29.97,27.48,28.72,2248474,-0.0114,0.0117,55.0,56.5,True,55.0
2020-10-04,29.28,30.2,27.8,27.8,3840292,-0.032,0.0158,57.0,56.5,True,55.0
2020-10-11,28.45,32.55,27.99,30.29,4840659,0.0896,0.0533,57.0,56.0,False,57.0
2020-10-18,30.29,30.43,26.79,27.34,1850062,-0.0974,0.0775,55.0,56.0,False,57.0
2020-10-25,27.48,31.58,27.39,30.75,4582964,0.1247,0.1037,52.0,55.25,False,55.0
2020-11-01,30.8,32.45,27.8,28.03,2110928,-0.0885,0.1165,49.0,53.25,False,52.0
2020-11-08,28.63,31.58,27.94,30.66,2488323,0.0938,0.1175,52.0,52.0,False,49.0
2020-11-15,31.3,35.22,30.34,33.7,4541694,0.0992,0.0981,55.0,52.0,False,52.0
2020-11-22,34.52,34.89,32.04,32.96,4609345,-0.022,0.0917,59.0,53.75,False,55.0
2020-11-29,33.42,35.68,30.43,35.49,6504707,0.0768,0.0568,56.0,55.5,False,59.0
2020-12-06,35.12,38.35,34.89,36.92,7226467,0.0403,0.0529,61.0,57.75,False,56.0
