Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2020-09-06,1443.07,1512.98,1377.66,1464.05,6648316,0.0149,0.0245,61.0,61.0,False,61.0
2020-09-13,1470.04,1559.42,1450.06,1547.93,5529077,0.0573,0.0232,62.0,61.0,False,61.0
2020-09-20,1556.42,1621.34,1548.93,1572.9,7020406,0.0161,0.0197,64.0,62.0,True,62.0
2020-09-27,1591.38,1598.87,1483.29,1542.44,5162475,-0.0194,0.0314,64.0,62.75,True,64.0
2020-10-04,1566.91,1601.36,1534.95,1560.42,5155238,0.0117,0.0315,65.0,63.75,False,64.0
2020-10-11,1576.9,2054.16,1563.91,1600.36,5723840,0.0256,0.0195,69.0,65.5,False,65.0
2020-10-18,1598.37,1599.86,1464.55,1532.45,5983407,-0.0424,0.0306,66.0,66.0,False,69.0
2020-10-25,1552.43,1560.92,1462.05,1486.02,5966502,-0.0303,0.0326,66.0,66.5,False,66.0
2020-11-01,1457.06,1508.49,1334.22,1354.19,5503048,-0.0887,0.047,61.0,65.5,False,66.0
2020-11-08,1347.7,1485.02,1323.02,1454.06,7981648,0.0737,0.0685,70.0,65.75,False,61.0
2020-11-15,1468.04,1719.21,1460.91,1609.85,15452063,0.1071,0.0908,74.0,67.75,False,70.0
2020-11-22,1625.33,1652.29,1589.88,1635.32,9899762,0.0158,0.0858,87.0,73.0,False,74.0
2020-11-29,1637.81,1732.69,1636.32,1719.21,8956484,0.0513,0.0384,83.0,78.5,False,87.0
2020-12-06,1704.23,1813.58,1703.73,1798.6,11137672,0.0462,0.038,90.0,83.5,False,83.0
2020-12-13,1800.6,1823.07,1767.14,1812.58,6136072,0.0078,0.0217,88.0,87.0,False,90.0
2020-12-20,1808.09,1912.45,1799.08,1818.07,7350231,0.003,0.0252,100.0,90.25,False,88.0
2020-12-27,1756.16,1853.03,1722.7,1757.65,7469968,-0.0332,0.0325,88.0,91.5,False,100.0
2021-01-03,1779.62,1838.55,1772.13,1787.11,1464207,0.0168,0.022,69.0,86.25,False,88.0
2021-01-10,1819.57,1877.99,1763.85,1832.05,5550194,0.0251,0.0258,64.0,80.25,False,69.0
2021-01-17,1844.04,1860.02,1678.26,1713.71,5798507,-0.0646,0.0425,64.0,71.25,False,64.0
2021-01-24,1706.72,1843.04,1702.23,1757.15,8408687,0.0253,0.0437,60.0,64.25,False,64.0
2021-01-31,1748.17,1766.14,1671.27,1716.21,6037584,-0.0233,0.0433,62.0,62.5,False,60.0
2021-02-07,1727.19,1779.62,1681.26,1762.15,5361849,0.0268,0.0438,61.0,61.75,False,62.0
2021-02-14,1765.64,1794.6,1715.21,1785.62,6070855,0.0133,0.0233,61.0,61.0,False,61.0
2021-02-21,1797.6,1880.99,1791.63,1837.05,5750114,0.0288,0.0241,55.0,59.75,True,61.0
2021-02-28,1819.57,1901.46,1796.1,1813.08,4711738,-0.013,0.0193,56.0,58.25,True,55.0
2021-03-07,1833.55,1905.46,1812.58,1862.51,6000031,0.0273,0.0194,56.0,57.0,False,56.0
2021-03-14,1876.99,2182.09,1848.03,2120.17,10456205,0.1383,0.0649,58.0,56.25,False,56.0
2021-03-21,2138.15,2169.11,2023.3,2032.29,5507941,-0.0414,0.0789,59.0,57.25,False,58.0
2021-03-28,2038.28,2049.27,1847.53,1896.97,6691788,-0.0666,0.0916,60.0,58.25,False,59.0
2021-04-04,1895.47,1948.4,1862.43,1924.93,3271533,0.0147,0.0913,59.0,59.0,False,60.0
2021-04-11,1950.4,2060.25,1928.93,2041.28,5576876,0.0604,0.057,55.0,58.25,False,59.0
2021-04-18,2035.28,2113.18,2022.3,2071.24,4161514,0.0147,0.0529,58.0,58.0,False,55.0
