Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2020-09-20,716.98,735.83,711.02,715.25,247988,0.0011,0.014,63.0,62.5,False,62.0
2020-09-27,711.02,714.29,691.6,702.75,246534,-0.0175,0.0177,62.0,63.25,False,63.0
2020-10-04,709.1,722.75,701.41,717.56,239009,0.0211,0.016,72.0,64.75,True,62.0
2020-10-11,719.67,733.13,716.02,732.17,191162,0.0204,0.0184,65.0,65.5,True,72.0
2020-10-18,732.94,775.43,732.56,759.48,311819,0.0373,0.0232,66.0,66.25,False,65.0
2020-10-25,761.01,793.12,735.44,793.12,288870,0.0443,0.0119,74.0,69.25,False,66.0
2020-11-01,787.74,797.93,761.97,768.13,385785,-0.0315,0.0343,65.0,67.5,False,74.0
2020-11-08,769.86,817.54,761.21,802.16,332375,0.0443,0.0369,72.0,69.25,False,65.0
2020-11-15,812.35,826.58,790.82,802.74,363813,0.0007,0.0369,75.0,71.5,False,72.0
2020-11-22,810.23,827.16,806.97,824.08,276311,0.0266,0.033,76.0,72.0,False,75.0
2020-11-29,826.77,831.58,786.39,791.58,295796,-0.0394,0.0363,87.0,77.5,False,76.0
2020-12-06,788.32,812.16,784.28,794.47,323890,0.0037,0.0274,93.0,82.75,False,87.0
2020-12-13,793.7,805.04,789.85,802.74,268689,0.0104,0.0282,100.0,89.0,False,93.0
2020-12-20,802.74,840.61,799.08,826.58,350407,0.0297,0.0292,81.0,90.25,False,100.0
2020-12-27,817.73,826.77,809.08,818.5,147117,-0.0098,0.0164,76.0,87.5,False,81.0
2021-01-03,822.54,855.8,817.73,845.61,93278,0.0331,0.0198,77.0,83.5,False,76.0
2021-01-10,854.27,856.57,829.27,853.11,246544,0.0089,0.02,77.0,77.75,False,77.0
2021-01-17,852.73,863.49,840.04,846.96,231217,-0.0072,0.0197,73.0,75.75,False,77.0
2021-01-24,845.42,856.57,829.08,841.77,204694,-0.0061,0.0188,70.0,74.25,False,73.0
2021-01-31,840.04,846.77,806.97,810.04,271145,-0.0377,0.0195,73.0,73.25,False,70.0
2021-02-07,817.16,868.49,814.85,865.8,253019,0.0688,0.0453,74.0,72.5,False,73.0
2021-02-14,871.19,891.18,862.92,888.68,185257,0.0264,0.0456,79.0,74.0,False,74.0
2021-02-21,892.34,978.67,882.91,926.37,266731,0.0424,0.0453,67.0,73.25,False,79.0
2021-02-28,916.95,918.48,884.26,887.53,252421,-0.0419,0.0472,73.0,73.25,False,67.0
2021-03-07,895.03,904.26,853.53,857.0,223097,-0.0344,0.0425,74.0,73.25,True,73.0
2021-03-14,861.04,921.51,840.43,918.81,283645,0.0721,0.0565,70.0,71.0,True,74.0
2021-03-21,920.93,948.28,912.07,912.07,378307,-0.0073,0.0521,65.0,70.5,False,70.0
2021-03-28,909.96,910.92,894.93,908.22,221186,-0.0042,0.0458,68.0,69.25,False,65.0
2021-04-04,912.65,927.1,903.22,921.13,173849,0.0142,0.0368,71.0,68.5,False,68.0
2021-04-11,935.57,955.02,914.19,952.9,207645,0.0345,0.0193,72.0,69.0,False,71.0
2021-04-18,954.25,992.29,943.85,988.43,240882,0.0373,0.0194,72.0,70.75,False,72.0
2021-04-25,989.88,1022.62,966.77,1011.06,253309,0.0229,0.0107,66.0,70.25,False,72.0
2021-05-02,1009.14,1025.99,999.99,1005.28,201199,-0.0057,0.0196,74.0,71.0,False,66.0
2021-05-09,1005.28,1040.99,1005.28,1036.16,226158,0.0307,0.0189,69.0,70.25,False,74.0
2021-05-16,1039.06,1039.06,993.67,1031.33,232049,-0.0047,0.0188,72.0,70.25,False,69.0
2021-05-23,1035.19,1048.23,1006.71,1044.85,209953,0.0131,0.0172,66.0,70.25,False,72.0
2021-05-30,1048.71,1107.62,1048.23,1104.72,287168,0.0573,0.0264,78.0,71.25,False,66.0
2021-06-06,1109.07,1127.9,1102.31,1118.72,215396,0.0127,0.0265,68.0,71.0,False,78.0
2021-06-13,1118.72,1159.76,1117.27,1156.38,236823,0.0337,0.0211,65.0,69.25,False,68.0
2021-06-20,1161.21,1195.01,1142.86,1171.35,301440,0.0129,0.0212,69.0,70.0,False,65.0
